2017-18-12 22:23:37 INFO  BookKeepingController:72 - Starting Application:
2017-18-12 22:23:38 INFO  BookKeepingController:85 - Input args length:0
2017-18-12 22:23:38 INFO  FileSystemUtils:30 - We are good the backupDir exists
2017-18-12 22:23:38 INFO  FileSystemUtils:16 - Directory already exists, dir:/local/backup
2017-18-12 22:23:38 INFO  FileSystemUtils:30 - We are good the backupDir exists
2017-18-12 22:23:38 INFO  FileSystemUtils:16 - Directory already exists, dir:/local/public/www/
2017-18-12 22:23:38 INFO  BrokerSingleton:43 - Reading local config.properties file:config.properties
2017-18-12 22:23:38 INFO  BrokerSingleton:74 - {"name":"\"TEST NAME\"","proprietor":"\"TEST PROPRIETOR\"","firmName":"\"TEST FIRM\"","location":{"place":"\"TEST_PLACE\"","taluka":"\"TEST_TALUKA\"","district":"\"TEST_DISTRICT\"","address":"\"TEST ROAD\"","state":"\"TEST_STATE\"","uniqueKey":"\"TEST_PLACE\"","createdBy":"root","_id":"5a38b06a0b5efe1a0fab2051","creationDate":"2017-12-18","creationTime":"2017-12-18 22:23:38"},"uniqueKey":"\"TEST NAME\""}
2017-18-12 22:23:38 INFO  BookKeepingController:158 - Starting Application on port:8000
2017-18-12 22:23:38 INFO  MongoConnection:40 - Getting a new Connection for Mongo
2017-18-12 22:23:38 INFO  cluster:71 - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2017-18-12 22:23:39 INFO  cluster:71 - Cluster description not yet available. Waiting for 30000 ms before timing out
2017-18-12 22:23:39 INFO  connection:71 - Opened connection [connectionId{localValue:1, serverValue:11}] to localhost:27017
2017-18-12 22:23:39 INFO  cluster:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 5]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, roundTripTimeNanos=1094560}
2017-18-12 22:23:39 INFO  MongoConnection:29 - Mongo host:localhost, port: 27017 
2017-18-12 22:23:39 INFO  connection:71 - Opened connection [connectionId{localValue:2, serverValue:12}] to localhost:27017
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 0 with key:payment_kisaan and key:payment_kisaan -> { uniqueKey: "text","kisaan": "text", tag:"text" }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 1 with key:item_sold and key:item_sold -> { uniqueKey: "text","itemName": "text"}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 2 with key:transaction_items and key:transaction_items -> { uniqueKey: "text"}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 3 with key:payment_khareeddar and key:payment_khareeddar__2 -> { khareeddar:1, tag:1 }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 4 with key:kisaan and key:kisaan -> { uniqueKey: "text","firstName": "text", lastName:"text" }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 5 with key:payment_khareeddar and key:payment_khareeddar__3 -> { eventDate:1,khareeddar: 1, tag:1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 6 with key:kisaan and key:kisaan__2 -> { uniqueKey: 1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 7 with key:transaction_kisaan and key:transaction_kisaan -> { uniqueKey: "text", "kisaan": "text", khareeddar:"text" }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 8 with key:payment_khareeddar and key:payment_khareeddar -> { uniqueKey: "text","khareeddar": "text", tag:"text" }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 9 with key:transaction_kisaan and key:transaction_kisaan__3 -> { eventDate:1, kisaan:1, khareeddar:1 }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 10 with key:khareeddar and key:khareeddar -> { uniqueKey: "text","firstName": "text", lastName:"text" }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 11 with key:transaction_kisaan and key:transaction_kisaan__2 -> { kisaan: 1, khareeddar:1 }
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 12 with key:khareeddar and key:khareeddar__2 -> { uniqueKey: 1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 13 with key:item_sold and key:item_sold__3 -> { eventDate:1,itemName:1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 14 with key:item_sold and key:item_sold__2 -> { itemName: 1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 15 with key:payment_kisaan and key:payment_kisaan__3 -> { eventDate:1,kisaan: 1, tag:1}
2017-18-12 22:23:39 INFO  ControllerUtilities:352 - Creating index 16 with key:payment_kisaan and key:payment_kisaan__2 -> { kisaan:1, tag:1 }
2017-18-12 22:23:39 INFO  BookKeepingController:186 - Port configured: 8000
2017-18-12 22:23:39 INFO  BookKeepingController:194 - starting all routes
2017-18-12 22:23:40 INFO  Server:290 - jetty-9.0.2.v20130417
2017-18-12 22:23:40 INFO  ServerConnector:265 - Started ServerConnector@2964803c{HTTP/1.1}{0.0.0.0:8000}
